"inspection_id","dba_name","aka_name","license_","facility_type","risk","address","city","state","zip","inspection_date","inspection_type","results","violations","latitude","longitude","location"
"2568885","ZAZA'S DELI, INC.","ZAZA'S DELI","2882745","Grocery Store","Risk 3 (Low)","3055 N MILWAUKEE AVE ","CHICAGO","IL","60618","2022-12-22T00:00:00.000","License","Pass",,"41.936780375027034","-87.71981734084218","(41.936780375027034, -87.71981734084218)"
"2568895","HAROLD'S CHICKEN COOP LLC","HAROLD'S CHICKEN COOP LLC","2708644","Restaurant","Risk 2 (Medium)","1711 E 87TH ST ","CHICAGO","IL","60617","2022-12-22T00:00:00.000","Canvass","Out of Business",,"41.73685247706767","-87.5822614426884","(41.73685247706767, -87.5822614426884)"
"2568893","Carver Military Academy","Carver Military Academy","46381","School","Risk 1 (High)","13100 S Doty (1030E) ","CHICAGO","IL","60827","2022-12-22T00:00:00.000","Canvass Re-Inspection","Fail","55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED DUST BUILDUP ON CEILING VENTS IN KITCHEN AND SERVING AREAS. INSTRUCTED MANAGER TO CLEAN AND MAINTAIN. | 59. PREVIOUS PRIORITY FOUNDATION VIOLATION CORRECTED - Comments: PREVIOUS PRIORITY FOUNDATION VIOLATION NOT CORRECTED FROM REPORT #2568220 ON 12-8-22:38-OBSERVED OVER 500 DROPPINGS SCATTERED ON FLOOR ALONG WALLS AND CORNERS BEHIND ICE MACHINE, ALONG WALK-IN COOLERS, INSIDE UTILITY CLOSETS, BEHIND 3-COMPARTMENT SINK, INSIDE CABINETS ON LEDGES UNDER COLD HOLDING UNITS IN SERVING AREA, ON FLOOR ALONG WALLS IN SERVING AREA, TEACHERS LOUNGE, WOMEN LOCKER ROOM, MEN LOCKER ROOM, CARPETED STORAGE ROOM ADJACENT TO KITCHEN, UNUSED KITCHEN AREA NEAR LOCKER ROOMS. INSTRUCTED MANAGER TO CALL AN EXTERMINATOR FOR SERVICE, CLEAN AND SANITIZE ALL AREAS. PREVIOUS PRIORITY VIOLATION NOT CORRECTED FROM REPORT #2568563 ON 12-15-22:10-OBSERVED HOT WATER AT HAND WASHING SINKS ABOVE MAXIMUM TEMPERATURE OF 120F IN BOYS WASHROOM NEAR ELECTRICAL ROOM B203 (139.1F) AND BOYS WASHROOM NEAR ELECTRICAL ROOM B106 (122F) INSTRUCTED MANAGER TO MAINTAIN HOT WATER AT 100-120F AT ALL HAND WASHING SINKS. 10-OBSERVED NO HAND WASHING SINKS IN NORTH AND SOUTH SERVING AREAS. INSTRUCTED MANAGER TO INSTALL HAND WASHING SINKS WITH HOT AND COLD N WATER UNDER CITY PRESSURE, SOAP, PAPER TOWELS AND SIGNAGE IN BOTH SERVING AREAS. PRIORITY 7-42-090",,,
"2568922","ST BERNARD HOSPITAL & HEALTH CENTER","ST BERNARD HOSPITAL & HEALTH CENTER","15790","Hospital","Risk 1 (High)","326 W 64TH ST ","CHICAGO","IL","60621","2022-12-22T00:00:00.000","Canvass","Fail","16. FOOD-CONTACT SURFACES: CLEANED & SANITIZED - Comments: OBSERVE FACILITY HIGH TEMPRETURE MECHANICAL WARE WASHING MACHINING FINAL RINSE TEMPERATURE ABOVE (MAX TEMP OF 194F) MACHINE FINAL RINSE AT 212 DEGREES F. IN MACHANICAL WASHING AREA. INFORMED PERSON IN CHARGE OF FINAL RINSE AND SANITIZING REQUIREMENTS FOR HIGH TEMPRETURE WARE WASHING MACHINE. PRIORITY FOUNDATION FIOLATION 7-38-025 CITATION ISSUED | 16. FOOD-CONTACT SURFACES: CLEANED & SANITIZED - Comments: OBSERVED FACILITY FOOD HANDLER ACTIVELY WASHING DISHES AND SANTIZING WITHOUT REQUIRED CONCENTRATION OF SANITIZER SOLUTION IN COMPARTMENT OF SINK IN MANUAL WARE WASHING AREA. INFORMERD PERSON IN CHARGE SANITIZER MUST MEET THE REQUIRED CONCETRATION DURING ACTIVE DISH/WARE WASHING. FOOD HANDLER MADE NEW SANITIZING SOLUTION FOR THE THREE COMPARTMENT SINK-COS. PRIORITY VIOLATION 7-38-005 CITATION ISSUED. | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: OBESERVED ITEMS STORED ON THE FLOOR AT DRY STORAGE AREA.  INSTRUCTED MANAGER TO STORE ITEMS 6 INCHES OFF OF THE FLOOR. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED DEBRIS AND HEAVY SOIL ON FLOOR IN MONEY COUNTING ROOM. INSTRUCTED MANAGER TO THOROUGHLY CLEAN AND MAINTAIN.","41.77821515610851","-87.63346442603714","(41.77821515610851, -87.63346442603714)"
"2568902","365 FOODMART CORPORATION","365 FOODMART CORPORATION","2881947","Grocery Store","Risk 3 (Low)","5100 W MADISON ST ","CHICAGO","IL","60644","2022-12-22T00:00:00.000","License","Not Ready",,"41.88051357771224","-87.75266788339098","(41.88051357771224, -87.75266788339098)"
"2568938","BULL  DOG BAKERY II","BULL DOG  BAKERY II","2653041","Restaurant","Risk 2 (Medium)","3207 N ELSTON AVE ","CHICAGO","IL","60618","2022-12-22T00:00:00.000","Canvass","Out of Business",,"41.939646610904056","-87.69847901358345","(41.939646610904056, -87.69847901358345)"
"2568884","COMMUNITY GROCERY","COMMUNITY GROCERY","2501729","Grocery Store","Risk 2 (Medium)","3336 W BRYN MAWR AVE ","CHICAGO","IL","60659","2022-12-22T00:00:00.000","Canvass","Pass","55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED DIRTY FLOORS AND WALLS THROUGHOUT REAR PREPARATION AREA. INSTRUCTED THE PERSON IN CHARGE TO DETAIL CLEAN AND MAINTAIN. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED UNUSED ITEMS ( TABLES AND CHAIRS) IN THE REAR NEAR THREE COMPARTMENT SINK. INSTRUCTED THE PERSON IN CHARGE TO REMOVE UNUSED ITEMS TO PREVENT POTENTIAL PEST HARBORAGE.","41.98312772050012","-87.7128205196719","(41.98312772050012, -87.7128205196719)"
"2568917","AL - JOUD INVESTMENT","AL - JOUD INVESTMENT","2882673","Grocery Store","Risk 3 (Low)","1156 N PULASKI RD ","CHICAGO","IL","60651","2022-12-22T00:00:00.000","License","Fail","10. ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: FOUND NO HANDWASHING SIGNAGE AT WASHROOM HANDWASHING SINK. MUST PROVIDE. | 33. PROPER COOLING METHODS USED; ADEQUATE EQUIPMENT FOR TEMPERATURE CONTROL - Comments: EQUIPMENT NOT MAINTAINING PROPER TEMPERATURE. NOTED TEMPERATURE OF THE LARGE GLASS DOOR COOLER LOCATED IN THE FRONT AREA ACROSS FROM THE COUNTER TO BE OPERATING AT 46F-48F INSIDE ON THE LEFT END (DOORS 11-14). INSTRUCTED THAT ALL AREAS INSIDE THE COOLER MUST MAINTAIN PROPER TEMPERATURE AT 41F AND BELOW. PRIORITY VIOLATION 7-38-005. | 38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: FOUND A 1/2 INCH GAP UNDERNEATH THE FRONT AND REAR EXIT DOORS. MUST SEAL GAPS TO PREVENT RODENT ENTRY AND MAINTAIN. | 51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: FOUND NO BACKFLOW PREVENTION DEVICE ON THE MOP SINK IN THE WASHROOM. MUST PROVIDE. | 53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: FOUND NO COVERED WASTE RECEPTACLE INSIDE THE WASHROOM. MUST PROVIDE. | 53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: FOUND NO TOILET PAPER INSIDE THE WASHROOM. MUST PROVIDE INSIDE WASHROOM AND MAINTAIN. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: FOUND DUST AND DIRT BUILD UP ON THE FLOOR THROUGHOUT THE BASEMENT, WASHROOM, AND THROUGHOUT THE MAIN CUSTOMER AREA. FOUND AN ACCUMULATION OF SPIDER WEBS THROUGHOUT BASEMENT. MUST DETAIL CLEAN ALL FLOORS AND SAID AREAS AND MAINTAIN. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: FOUND MULTIPLE HOLES AND PEELING PAINT ON THE CEILING NEAR THE FRONT COUNTER. MUST REPAIR HOLES AND REMOVE PEELING PAINT FROM CEILING AND MAINTAIN. | 56. ADEQUATE VENTILATION & LIGHTING; DESIGNATED AREAS USED - Comments: FOUND MULTIPLE LIGHTS BURNED OUT INSIDE THE GLASS DOOR COOLER IN THE FRONT AREA ACROSS FROM THE COUNTER, AND POOR LIGHTING INSIDE THE WASHROOM. MUST REPLACE ANY BURNED OUT LIGHT BULBS AND PROVIDE ADEQUATE LIGHTING.","41.902468382006454","-87.7264432559915","(41.902468382006454, -87.7264432559915)"
"2568896","CAPITAL ONE CAFE","CAPITAL ONE CAFE","2882597","Restaurant","Risk 2 (Medium)","100 S STATE ST ","CHICAGO","IL","60603","2022-12-22T00:00:00.000","License Re-Inspection","Fail","2. CITY OF CHICAGO FOOD SERVICE SANITATION CERTIFICATE - Comments: FOUND NO VALID CITY OF CHICAGO FOOD SERVICE SANITATION MANAGER CERTIFICATE POSTED ON SITE WHILE TIME/TEMPERATURE CONTROL FOR SAFETY FOODS (EGGS) ARE BEING PREPARED AND SERVED TO THE PUBLIC. A VALID CITY OF CHICAGO FOOD SERVICE SANITATION MANAGER CERTIFICATE MUST BE ON SITE AT ALL TIMES WHILE TCS FOODS ARE PREPARED AND SERVED TO THE PUBLIC. PRIORITY FOUNDATION VIOLATION. 7-38-012. CITATION ISSUED. | 57. ALL FOOD EMPLOYEES HAVE FOOD HANDLER TRAINING - Comments: FOUND NO PROOF OF FOOD HANDLER TRAINING. INSTRUCTED MANAGER TO PROVIDE PROOF OF FOOD HANDLER TRAINING FOR ALL FOOD HANDLERS.","41.88071513784339","-87.62787607841581","(41.88071513784339, -87.62787607841581)"
"2568931","CARNITAS LA ESQUINITA","CARNITAS LA ESQUINITA","2341662","Restaurant","Risk 1 (High)","3424 W IRVING PARK RD ","CHICAGO","IL","60618","2022-12-22T00:00:00.000","Canvass Re-Inspection","Pass","16. FOOD-CONTACT SURFACES: CLEANED & SANITIZED - Comments: 4-602.11(B-E)--OBSERVED A SLIGHT DEBRIS ACCUMULATION ENCRUSTED ON THE INTERIOR OF THE ICE MACHINE.INSTRUCTED TO REMOVE DEBRIS, DETAIL CLEAN INSIDE ICE MACHINE/HAVE SERVICED AND MAINTAIN ICE MACHINE AT ALL TIMES. | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: 4-101.19--OBSERVED RUSTS ON THE WIRE STORAGE RACKS IN THE WALK-IN COOLER.INSTRUCTED TO REMOVE RUSTS AND REPAINT OR REPLACE THE SHELVES.  | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: 4-501.12--OBSERVED STAINED CUTTING BOARDS IN THE KITCHEN PREP AREA.INSTRUCTED TO RESURFACE OR REPLACE THE CUTTING BOARDS AND MAINTAIN. | 56. ADEQUATE VENTILATION & LIGHTING; DESIGNATED AREAS USED - Comments: 4-202.18--INSTRUCTED TO DETAIL CLEAN KITCHEN EXHAUST HOOD/FILTERS TO REMOVE HANGING GREASE BUILD-UP AND MAINTAIN. | 58. ALLERGEN TRAINING AS REQUIRED - Comments: 2-102.13--OBSERVED THE CERTIFIED FOOD MANAGER WITHOUT THE ALLERGEN TRAINING CERTIFICATE. MUST SHOW PROOF OF TRAINING AND MAINTAIN.","41.95395117084635","-87.7139821082167","(41.95395117084635, -87.7139821082167)"
