_id,BUFE_ADI,ILCE,MAHALLE,ADRES,BOYLAM,ENLEM
1,Fabrika,Çiğli,Aydınlık Evler Mah., 6780 Sk.No:26/5 ,27.079062,38.487852
2,Uğur Mumcu,Çiğli,Uğur Mumcu, 8982/2 Sk. No:3/5,27.045586,38.524457
3,Evka 5,Çiğli,Evka 5,8930 Sk.No:6/1   ,27.056185,38.518477
4,Güzeltepe,Çiğli,Yakakent, 8172 sk. No:101/1 ,27.145556,38.367756
5,Çiğli,Çiğli,Ataşehir, 8001 sk. No:19/3 ,27.043861,38.512349
6,Yamaç,Karşıyaka,Cumhuriyet, 6719/1 Sk. No:5 ,27.097169,38.482289
7,Emek,Bayraklı,Yamanlar, 7305 Sk. No:70  ,27.123858,38.475745
8,Yamanlar,Bayraklı,Yamanlar, 7349 Sk.No:28  ,27.13364,38.481138
9, Nafiz Gürman ,Bayraklı,Org.Nafiz Gürman,Atatürk Cad.No:242/1 ,27.140637,38.476266
10,Gümüşpala,Bayraklı,Gümüşpala,7075 Sk. No:7/1 ,27.135348,38.469855
11,75.Yıl,Bayraklı,75.Yıl, 1620/40 Sk.No:1/1 ,27.158124,38.47526
12,Cengizhan,Bayraklı,Cengizhan, 1615/17 Sk.No:28/1  ,27.167132,38.474622
13,Alparslan,Bayraklı,Alpaslan, 1620/15 Sk.No:6/1 ,27.166847,38.470317
14,Muhittin Erener,Bayraklı,Refik Şevket, 2143 Sk.No:40/1 ,27.178477,38.474808
15,Osmangazi,Bayraklı,Osmangazi, Yavuz Cad. No:328   ,27.185786,38.47105
16,Çay Mahalle,Bayraklı,Çay, 2108/10 Sk.No:2/1 ,27.180807,38.468143
17,Bayraklı,Bayraklı,Tepekule,1637 Sk. No:2 ,27.168226,38.465019
18,Adalet,Bayraklı,Adalet,1594/1 sk. No: 15/1 ,27.180475,38.45717
19,Atatürk,Bornova,Atatürk, 858 Sk. No:30/1-A  ,27.204255,38.47655
20,Bornova İnönü,Bornova,İnönü,Şehit Mustafa Cad. No:19/1-A  ,27.212386,38.478053
21,Şanlı,Bornova,Atatürk, 858 Sk. No:3,27.203983,38.481572
22,Evka 4,Bornova,Evka 4,1027 Sk. No:26/1  ,27.214305,38.489522
23,Kızılay,Bornova,Kızılay, 477 Sk. No:5/B,27.218521,38.472839
24,Erzene,Bornova,Erzene, Türkeli Cad. No:2/B ,27.224548,38.464028
25,Bornova Gazi,Bornova,Mevlana, 1746/2 Sk. No:1/1 ,27.230975,38.448183
26,Mevlana,Bornova,Mevlana, 1700 Sk. No:40/3-A ,27.239886,38.450571
27,Doğanlar,Bornova,Doğanlar,1527 Sk. No:10/1 ,27.248901,38.449486
28,Naldöken,Bornova,Naldöken,1224 Sk. No:52/1-A ,27.269024,38.45788
29,Pınarbaşı,Bornova,Gürpınar, 7055 Sk. No:32/1-A ,27.269429,38.429865
30,Karacaoğlan,Bornova,Karacaoğlan, 6218 sk. No:2/3-A ,27.206072,38.442147
31,Yeşilova,Bornova,Yeşilova,4051 Sk. No:109/A ,27.207332,38.434674
32,Barbaros,Bornova,Barbaros,5332 Sk. No:2/E ,27.198034,38.436305
33,Tuna,Bornova,Tuna,5652 Sk. No: 18/A  ,27.190939,38.429191
34,Koşukavak,Bornova,Koşukavak,4252 Sk. No:11/A ,27.200659,38.427276
35,Serintepe,Bornova,Serintepe, 4310 Sk. No:19/1 ,27.195919,38.423379
36,Zafer,Bornova,Zafer,4342/2 Sk.No:18 ,27.202535,38.420308
37,Çamkule,Bornova,Çamkule,4712 Sokak No:44/A ,27.189384,38.414508
38,İzkent ,Buca,İzkent, 1308 Sk. No:6/1 ,27.1896740611233,38.3992651950742
39,Karanfil,Buca,Karanfil, 1107 Sk. No:2/1 ,27.18701,38.389824
40,Cumhuriyet,Buca,Cumhuriyet,1255 Sokak No:5/1 ,27.194172,38.393919
41,Yıldız Mah.,Buca,Atatürk, Ahmet Yesevi Cad. No:95/1 ,27.180825,38.375741
42,Kuruçeşme,Buca,Kuruçeşme, 203/48 Sokak No:1 ,27.191282,38.372327
43,Buca Koop.,Buca,Buca Koop, 1403 Sk. No:16/2 ,27.185247,38.368735
44,Yiğitler,Buca,Yiğitler,Onat Cad. No:64 ,27.152935,38.395649
45,Akıncılar,Buca,Akıncılar, 551 Sk. No:44/1 ,27.144984,38.386076
46,Fırat,Buca,Fırat,287/3 Sk. No:6 ,27.146786,38.37675
47,Yeşilbağlar,Buca,Yeşilbağlar, 637/16 Sk. No:1/1 ,27.148177,38.370539
48,Göksu,Buca,Göksu, 679/24 Sk. No:24/1 ,27.14758,38.366003
49,Mustafa Kemal,Buca,Mustafa Kemal, 694/44 Sk. No:35/1 ,27.150218,38.361578
50,Çamlıpınar,Buca,Çamlıpınar, 254 Sk. No:309/3 ,27.160842,38.365405
51,Kozağaç,Buca,Kozağaç, 254 Sk. No:99/1   ,27.169652,38.377185
