LOKASYON_Y;LOKASYON_X;ADI;TELEFON;ADRES;BOLGE_ID;BOLGE;ECZANE_ID;ILCE_ID
27.197680;38.425794;ALTINDAG ECZANESİ;02324334601;KEMALPAŞA CD. 193/A;4;ALTINDAĞ;1;1203
27.200800;38.425600;ZAMBAK ECZANESİ;02324334322;KEMALPASA CAD. NO:68;4;ALTINDAĞ;2;1203
27.238932;38.436736;YENI HOSGÖR ECZANESİ;02324334569;KEMALPASA CAD.NO.12/B ALTINDAG;4;ALTINDAĞ;3;1203
27.205100;38.422400;ZAFER ECZANESİ;02324676727;YENER CAD. NO:25/AALTINDAG;4;ALTINDAĞ;4;1203
27.195956;38.429705;NEHIR ECZANESİ;02324619045;4209 SK. NO:31/A ;4;ALTINDAĞ;5;1203
27.204400;38.476800;ATAKENT ECZANESİ;02323886042;ATATÜRK MAH.858 SOK.NO.32/B;105;ATATÜRK-OSMANGAZİ;8;1203
27.054200;38.384500;BALÇOVA ECZANESİ;02322790865;TELEFERIK MAH.ÖZ SAGLIK SOKAK NO:46/A BALÇOVA;6;BALÇOVA;9;2006
27.058409;38.394734;EYÜP SABRİ ECZANESİ;02322787035;EĞİTİM MH. DUMLUPINAR SK. NO:6/A;6;BALÇOVA;10;2006
27.105900;38.398300;ÖZBURCU ECZANESİ;02322433622;HASAN TAHSIN CAD. 253 SOK. NO:137/A;7;BASIN SİTESİ;11;2057
27.104704;38.396481;SARAÇ ECZANESİ;02322316015;VATAN MAH. POLAT CAD. NO:107/A;7;BASIN SİTESİ;12;2057
27.105100;38.396600;KOÇAK ECZANESİ;02322442255;POLAT CAD. NO:99/B;7;BASIN SİTESİ;13;2057
27.100900;38.399100;ERENER ECZANESİ;02322317041;220 SOK. NO:14 BASINSITESI;7;BASIN SİTESİ;14;2057
27.105600;38.396700;YENI AKIN ECZANESİ;02322449805;POLAT CAD. NO:89/A YESILYURT;7;BASIN SİTESİ;15;2057
27.106500;38.396900;KÖKER ECZANESİ;02322327367;BASINSİTESİ MAH. POLAT CAD. NO:88/B;7;BASIN SİTESİ;16;2057
27.223800;38.464400;YENİ ATA ECZANESİ;02323434384;KAZIM KARABEKIR CAD. NO:47 BORNOVA;10;BORNOVA 1;17;1203
27.216400;38.465200;BENLIOGLU ECZANESİ;02323424557;ERGENE MAH. MUSTAFA KEMAL CAD. NO:26/D;10;BORNOVA 1;18;1203
27.219500;38.466900;BILGI ECZANESİ;02323881684;2 SOK. NO:3/E;10;BORNOVA 1;19;1203
27.222600;38.464800;MELEK ECZANESİ;02323882383;KAZIMKARABEKIR CAD. NO:39;10;BORNOVA 1;20;1203
27.208900;38.457600;YENI ABIDIN ECZANESİ;02323881271;ÜNIVERSITE CAD.NO:26/A;11;BORNOVA 2;21;1203
27.209900;38.459000;ERDÖNMEZ ECZANESİ;02323742281;186 SOK. NO:5/1-B;11;BORNOVA 2;22;1203
27.210067;38.458870;AKHİSAR ECZANESİ;02323390011;KAZIM DİRİK MH.ANKARA CD.NO:241 ;11;BORNOVA 2;23;1203
27.208400;38.457400;EMİN ECZANESİ;02323739631;KAZIMDIRIK MAH. ÜNIVERSITE CAD. NO:36/A;11;BORNOVA 2;24;1203
27.197200;38.456300;DURU ECZANESİ;02323480015;MANSUROĞLU MH. 266 SK. NO:25/A;12;BORNOVA 3;25;2056
27.121200;38.391400;ULU ECZANESİ;02322616151;BOZYAKA-3013 SOK. NO:28/A;14;BOZYAKA;26;2057
27.131700;38.386900;KOCAGİL ECZANESİ;02322534660;COŞKUN KALE SOK. CENNETOĞLU MAH. NO:103/B;14;BOZYAKA;27;2057
27.127100;38.395500;ÇALIKUSU ECZANESİ;02322562622;ESKİ İZMİR CD. NO:122/A ;14;BOZYAKA;28;2057
27.166200;38.391800;NUR ECZANESİ;02324268489;150 SOK. NO:20/B;15;BUCA 1;29;1780
27.165800;38.390100;YENI AYSEGÜL ECZANESİ;2324876987;MENDERES CAD.NO.74/C BUCA;15;BUCA 1;30;1780
